id,name,longitude,latitude
1a,伊利健康谷,111.581487,40.791788
1b,西二环路,111.598788,40.801326
1c,孔家营,111.61171,40.806759
1d,呼钢东路,111.623799,40.811763
1e,西龙王庙,111.638229,40.817776
1f,乌兰夫纪念馆,111.648963,40.821615
1g,附属医院,111.662636,40.825636
1h,新华广场,111.674425,40.827981
1i,人民会堂,111.683062,40.829735
1j,将军衙署,111.697723,40.832146
1k,艺术学院,111.706929,40.835635
1l,东影路,111.716165,40.837786
1m,内蒙古展览馆,111.727604,40.840337
1n,内蒙古博物院,111.739333,40.842794
1o,市政府,111.754024,40.846304
1p,呼和浩特东站,111.774397,40.853515
1q,后不塔气,111.787487,40.85442
1r,什兰岱,111.809186,40.858391
1s,白塔西,111.81888,40.861464
1t,坝堰(机场),111.830527,40.863875
2a,阿尔山路,111.754856,40.762383
2b,喇嘛营,111.738539,40.761918
2c,帅家营,111.713865,40.761436
2d,内大南校区,111.699295,40.765997
2e,锡林公园,111.694751,40.776502
2f,五里营,111.691587,40.784156
2g,水上公园,111.688594,40.793006
2h,诺和木勒,111.686898,40.80332
2i,大学西街,111.682963,40.811298
2j,中山路,111.677891,40.820851
2k,新华广场,111.674425,40.827981
2l,呼和浩特站,111.672348,40.835063
2m,公主府,111.669409,40.842226
2n,呼和浩特体育场,111.662649,40.856702
2o,内蒙古体育馆,111.671484,40.861993
2p,成吉思汗广场,111.683523,40.862747
2q,毫沁营,111.698317,40.865277
2r,成吉思汗公园,111.711909,40.867434
2s,一家村,111.725831,40.866013
2t,东二环路,111.740943,40.865184
2u,新城图书馆,111.754889,40.869215
2v,百合路,111.765482,40.872025
2w,新店,111.772923,40.873357
2x,塔利东路,111.784286,40.875124
